FP1,FP2,F3,F4,C3,C4,P3,P4,01,02,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4
14,-2,2,-7,5,6,8,4,14,7,-4,-3,18,10,2,4,4,2,0,6,-10,-2,1,4,6,-2084,-1850,-12,-202,-1815
-11,-7,-2,-1,-1,-7,-1,-8,9,-17,-6,-9,-4,-21,-1,-2,-1,0,-2,-3,8,0,-13,-3,-9,1964,-2930,-54,-209,-2469
-19,-10,-6,-4,-9,-12,-5,-9,-12,-2,-6,-10,-8,-14,-6,-12,-8,-9,-13,-9,-13,-4,-12,-4,-10,-456,224,4,60,32
8,3,-32,-35,-18,-16,-15,-7,0,-13,-17,-8,3,3,-25,-14,-10,-21,-19,-12,9,-22,-14,-22,-16,1898,-1600,66,1522,1138
27,23,33,41,30,29,32,34,49,23,28,29,28,26,33,38,44,33,68,28,48,31,29,30,39,3454,-1324,-24,-1260,-3804
-2,-3,-3,-4,-9,-4,-9,-4,6,21,0,0,12,-13,-8,-3,-6,-4,-9,-5,19,-3,0,-6,-4,-2792,1012,78,1352,2308
1,0,5,4,2,4,1,8,8,9,4,8,5,6,4,6,5,6,6,4,14,3,1,-9,11,896,-1182,-102,824,-2532
13,10,11,2,4,10,1,5,-10,19,14,9,24,-2,13,-4,3,11,-3,-2,-98,2,13,-5,2,-1208,810,-77,-3038,36
7,8,7,-3,2,0,-1,1,-13,-34,5,8,6,-1,4,16,-6,7,-7,-2,-54,8,5,3,-6,-2996,-538,52,2430,753
-12,-7,-5,-6,-8,-7,-6,-7,-4,-11,-7,-10,13,-7,-5,-8,-10,-10,-9,-8,-18,-8,-6,-6,-2,-2985,-1029,-2,602,-1442
10,10,9,-3,6,15,-3,12,-9,-3,2,5,11,25,8,5,-10,5,-22,-2,-17,-6,15,-1,6,-3115,-1688,-94,-1226,1136
4,-11,2,1,3,0,3,3,3,7,-4,-5,7,7,2,3,4,5,2,2,-2,3,-8,-2,-5,-2603,1536,8,-1609,-693
-41,-44,-41,-24,-42,-41,-40,-50,11,92,-32,-31,-40,-30,-43,-26,-41,-39,11,-30,-28,-32,-45,-41,-36,-3844,1760,42,1911,-3978
-4,23,13,12,10,6,10,21,7,-4,2,2,19,18,7,15,14,14,5,13,22,7,-8,5,1,90,-1146,-23,806,2930
-20,-33,-10,-9,-13,-13,-9,-8,-16,-16,-20,-21,-8,-5,-13,-15,-14,-16,-12,-15,-22,-15,-16,-2,-3,-2196,-504,-4,132,-847
5,15,8,5,12,6,15,11,15,14,4,3,19,5,8,6,15,4,3,11,11,8,8,15,10,-571,-490,0,570,-657
0,1,2,-5,3,7,-3,2,-2,4,1,-1,2,4,3,-4,-15,-1,-22,-8,-35,2,4,0,-3,-4126,-1468,-96,-747,950
-32,-31,-28,-40,-35,-32,-41,-23,-82,68,-29,-33,-34,-26,-27,-54,-47,-29,-51,-34,-69,-26,-38,-31,-49,604,118,76,-4704,-3484
-25,-1,1,-19,-12,-17,-12,-14,-11,1,-12,-10,-14,-5,-10,-15,-12,-9,-17,-11,-14,-2,-19,-9,-21,-676,68,10,50,-516
5,10,12,6,10,4,-1,-2,-1,2,8,5,-5,-5,11,10,3,13,9,6,8,10,2,2,-8,680,-314,-4,728,-1066
-18,-20,-24,-33,-30,-22,-36,-34,-94,80,-13,-30,-28,-25,-16,-65,-29,-18,-44,-24,-115,-19,-35,-27,-47,3486,-3746,70,-4882,2774
