LShankACCX,LShankACCY,LShankACCZ,LShankGYROX,LShankGYROY,LShankGYROZ,RShankACCX,RShankACCY,RShankACCZ,RShankGYROX,RShankGYROY,RShankGYROZ,WaistACCX,WaistACCY,WaistACCZ,WaistGYROX,WaistGYROY,WaistGYROZ,ArmACCX,ArmACCY,ArmACCZ,ArmGYROX,ArmGYROY,ArmGYROZ,SC
7774,-765,-3430,-107,-13,-4,7774,-765,-3430,-107,-13,-4,-609,5388,5970,40,65,13,-609,5388,5970,40,65,13,1620
7771,-774,-3433,-109,-12,-4,7771,-774,-3433,-109,-12,-4,-628,5365,5965,72,32,-8,-628,5365,5965,72,32,-8,1622
7754,-770,-3431,-108,-14,-3,7754,-770,-3431,-108,-14,-3,-640,5353,5950,50,32,15,-640,5353,5950,50,32,15,1613
7795,-746,-3419,-113,-13,-2,7795,-746,-3419,-113,-13,-2,-643,5380,5949,37,43,19,-643,5380,5949,37,43,19,1617
7734,-773,-3461,-115,-8,-2,7734,-773,-3461,-115,-8,-2,-663,5346,5948,45,63,7,-663,5346,5948,45,63,7,1625
7766,-793,-3462,-113,-11,-2,7766,-793,-3462,-113,-11,-2,-675,5372,5931,49,39,7,-675,5372,5931,49,39,7,1622
7773,-752,-3455,-112,-9,-1,7773,-752,-3455,-112,-9,-1,-646,5380,5986,57,32,7,-646,5380,5986,57,32,7,1621
7759,-760,-3481,-108,-13,-4,7759,-760,-3481,-108,-13,-4,-643,5401,6003,56,51,2,-643,5401,6003,56,51,2,1620
7775,-755,-3458,-107,-9,-3,7775,-755,-3458,-107,-9,-3,-654,5343,5958,57,55,12,-654,5343,5958,57,55,12,1623
7767,-760,-3497,-107,-14,-4,7767,-760,-3497,-107,-14,-4,-643,5410,5917,54,68,2,-643,5410,5917,54,68,2,1620
7761,-747,-3472,-108,-12,-5,7761,-747,-3472,-108,-12,-5,-694,5311,5963,51,47,12,-694,5311,5963,51,47,12,1620
7747,-757,-3476,-113,-11,-2,7747,-757,-3476,-113,-11,-2,-616,5346,5906,30,41,10,-616,5346,5906,30,41,10,1615
7781,-785,-3467,-117,-12,-4,7781,-785,-3467,-117,-12,-4,-690,5302,5944,47,42,14,-690,5302,5944,47,42,14,1625
7775,-781,-3453,-110,-11,-1,7775,-781,-3453,-110,-11,-1,-640,5367,5958,50,34,8,-640,5367,5958,50,34,8,1617
7749,-762,-3508,-116,-12,-1,7749,-762,-3508,-116,-12,-1,-654,5387,5920,64,69,1,-654,5387,5920,64,69,1,1620
7763,-743,-3507,-120,-7,-1,7763,-743,-3507,-120,-7,-1,-609,5346,5892,68,67,-5,-609,5346,5892,68,67,-5,1620
